term,course,user,date,time,lat,lon
E2014,99000,389,2014-09-01,09-00,55.78941349719534,12.514058914546446
E2014,99000,389,2014-09-01,09-15,55.78924088209156,12.514275660758273
E2014,99000,389,2014-09-01,09-30,55.789490564180305,12.514573162759659
E2014,99000,389,2014-09-01,09-45,55.789786904939405,12.514811840297671
E2014,99000,389,2014-09-01,10-00,55.78970700129631,12.514784947205548
E2014,99000,389,2014-09-01,10-15,55.78986095527221,12.514736507113202
E2014,99000,389,2014-09-01,10-30,55.78980745426362,12.514611895046533
E2014,99000,389,2014-09-01,10-45,55.78983485477074,12.514556902931973
E2014,99000,17,2014-09-01,09-00,55.790776275278354,12.527292103824935
E2014,99000,17,2014-09-01,09-15,55.7905273911938,12.527252070033963
E2014,99000,17,2014-09-01,09-30,55.790531437326756,12.527266256457601
E2014,99000,17,2014-09-01,09-45,55.79035884544445,12.527541367616822
E2014,99000,17,2014-09-01,10-00,55.79007063911206,12.527474003080505
E2014,99000,17,2014-09-01,10-15,55.790353484708156,12.527509183535516
E2014,99000,17,2014-09-01,10-30,55.79034618736839,12.527789186786451
E2014,99000,17,2014-09-01,10-45,55.79014201327262,12.52803040027278
E2014,99000,482,2014-09-01,09-00,55.78845010898413,12.519447245729022
E2014,99000,482,2014-09-01,09-15,55.78868817004109,12.519389385521471
E2014,99000,482,2014-09-01,09-30,55.78882003599858,12.519645935698096
E2014,99000,482,2014-09-01,09-45,55.788701290074115,12.519573688139682
E2014,99000,482,2014-09-01,10-00,55.788809845453834,12.519741732527454
E2014,99000,482,2014-09-01,10-15,55.788742256775514,12.519937901385065
E2014,99000,482,2014-09-01,10-30,55.78885260876233,12.519995446446455
E2014,99000,482,2014-09-01,10-45,55.78870244139857,12.520022761704595
E2014,99000,799,2014-09-01,09-00,55.79072677005669,12.519072119710902
E2014,99000,799,2014-09-01,09-15,55.790454932507565,12.519325284276508
E2014,99000,799,2014-09-01,09-30,55.79021270217143,12.519099984123608
E2014,99000,799,2014-09-01,09-45,55.79020773078402,12.518943387527674
E2014,99000,799,2014-09-01,10-00,55.78992810188761,12.518945177437791
E2014,99000,799,2014-09-01,10-15,55.789874570126,12.519145089500299
E2014,99000,799,2014-09-01,10-30,55.790005086994356,12.519351469064148
E2014,99000,799,2014-09-01,10-45,55.790242382901084,12.519114250291945
E2014,99000,406,2014-09-01,09-00,55.78239946094631,12.525878113789897
E2014,99000,406,2014-09-01,09-15,55.78266537270085,12.52583763424405
